SquareFootage,Bedrooms,Bathrooms,Price
1660,2,1,231455.71168346316
2094,2,3,290978.5828739462
1930,4,2,293739.5338078852
1895,5,1,299370.3468236438
2438,3,3,355901.0924036395
2969,1,1,332824.788715511
1266,4,1,227900.74938601008
2038,5,2,351429.3747230323
1130,4,3,240309.53722945132
2282,5,3,365110.6310860964
2935,5,2,434074.23508862377
930,3,2,183513.60859479636
2485,5,3,402224.4715766045
1569,4,3,292561.9854409774
2315,5,2,351909.9190357322
2015,3,1,290320.04604171944
1755,3,1,259551.21959956558
1984,4,2,302360.9562751547
1259,2,1,183944.49119870854
821,2,2,154672.07490980107
1547,5,1,269939.31814465835
1274,1,1,171119.13988812393
1882,5,3,347573.5632833353
2847,4,3,409773.0637274063
1775,4,1,285808.81327972084
2606,4,1,365482.0261050411
989,4,3,226222.96158176404
1362,4,3,262961.8092205232
2699,3,3,363374.34628339985
2067,2,2,261692.31606792827
2328,4,1,329450.2279810934
1446,1,3,201040.7108217063
2868,1,1,321403.6385796038
2097,1,2,254353.37258149937
1400,1,2,172115.03495019503
2861,3,3,394673.04541936633
1041,1,2,149954.68194610107
2841,4,1,379901.98712540814
2163,5,3,352368.7972637078
2939,1,1,325551.82752605266
2190,3,1,309603.8014113288
2278,3,2,319085.5100007108
1575,1,2,212995.76345062666
834,5,2,200691.2819312396
2755,1,2,349390.3595739246
2385,3,2,346934.13758320536
1821,2,3,280734.35490951705
1929,4,1,296187.65977604873
2300,3,1,305151.43278259865
1502,1,1,189620.7401686673
2379,4,1,343380.1974399495
961,1,2,139814.30252524294
1001,1,1,130655.01255780818
2781,2,3,346408.6764090947
1795,4,3,296781.80922243244
1615,4,1,273113.01730608154
1255,2,1,177157.52908849632
2075,3,3,309321.53093489417
1816,1,3,249777.6703243712
1137,5,2,227577.72692825476
1678,1,3,242253.81690087568
1876,1,2,250264.06855372875
1591,3,2,252872.96265460408
1563,1,2,222813.5098647949
1179,2,2,174631.68233864103
1292,2,2,217637.15797751845
1980,4,1,285692.5859677035
2862,5,3,418400.8026673687
864,1,2,134026.0803879333
2167,1,3,300420.05680472305
1952,3,3,300005.57859100454
2827,2,2,343374.0834343892
2295,5,1,331550.57525520143
1962,4,2,305148.81495253585
2322,2,1,267250.3842844235
1191,4,3,231098.0715840656
2498,3,1,340230.67651859083
1218,3,1,210032.63807151237
1178,1,1,151515.87853460293
2596,5,3,399943.35228745453
2888,4,3,414385.08902306843
2982,2,1,376679.96928450326
1000,3,1,179049.75508770524
2663,1,2,325397.3817495982
1579,1,1,190875.4247416845
1302,4,2,240808.9660711716
2551,3,1,336571.62696787046
1604,5,2,291660.9482782403
2946,3,3,380626.2301751134
2695,4,1,377305.4076167746
2370,4,1,325848.6632222867
1760,3,1,272113.1764161625
2285,4,1,330368.4851276597
1828,3,2,273509.72415639745
1302,2,1,189593.27140103435
1197,3,3,223615.02111436488
1670,3,3,267135.6723394764
1192,4,1,216275.9826128572
1006,4,3,234449.90467186665
1838,1,1,214154.70251355032
